member_name,reading,party,faction,constituency,election_count,updated_at
繁本護,しげもと まもる,自由民主党,自由民主党・無所属の会,（比）近畿,2,2026-05-19
階猛,しな たけし,中道改革連合,中道改革連合・無所属,岩手1,8,2026-05-19
柴山昌彦,しばやま まさひこ,自由民主党,自由民主党・無所属の会,埼玉8,9,2026-05-19
島尻安伊子,しまじり あいこ,自由民主党,自由民主党・無所属の会,沖縄3,3,2026-05-19
島田智明,しまだ ともあき,自由民主党,自由民主党・無所属の会,（比）近畿,2,2026-05-19
島村かおる,しまむら かおる,参政党,参政党,（比）中国,1,2026-05-19
下村博文,しもむら はくぶん,自由民主党,自由民主党・無所属の会,東京11,10,2026-05-19
庄子賢一,しょうじ けんいち,中道改革連合,中道改革連合・無所属,（比）東北,3,2026-05-19
白坂亜紀,しらさか あき,自由民主党,自由民主党・無所属の会,（比）九州,1,2026-05-19
新谷正義,しんたに まさよし,自由民主党,自由民主党・無所属の会,広島4,6,2026-05-19
新藤義孝,しんどう よしたか,自由民主党,自由民主党・無所属の会,埼玉2,10,2026-05-19
菅原一秀,すがわら いっしゅう,自由民主党,自由民主党・無所属の会,東京9,7,2026-05-19
鈴木英敬,すずき えいけい,自由民主党,自由民主党・無所属の会,三重4,3,2026-05-19
鈴木馨祐,すずき けいすけ,自由民主党,自由民主党・無所属の会,神奈川7,7,2026-05-19
鈴木俊一,すずき しゅんいち,自由民主党,自由民主党・無所属の会,岩手2,12,2026-05-19
鈴木淳司,すずき じゅんじ,自由民主党,自由民主党・無所属の会,（比）東海,7,2026-05-19
鈴木貴子,すずき たかこ,自由民主党,自由民主党・無所属の会,北海道7,6,2026-05-19
鈴木拓海,すずき たくみ,自由民主党,自由民主党・無所属の会,（比）北関東,1,2026-05-19
鈴木憲和,すずき のりかず,自由民主党,自由民主党・無所属の会,山形2,6,2026-05-19
鈴木隼人,すずき はやと,自由民主党,自由民主党・無所属の会,東京10,5,2026-05-19
鈴木美香,すずき みか,参政党,参政党,（比）東京,1,2026-05-19
鈴木義弘,すずき よしひろ,国民民主党,国民民主党・無所属クラブ,（比）北関東,5,2026-05-19
須田英太郎,すだ えいたろう,チームみらい,チームみらい,（比）東海,1,2026-05-19
住吉寛紀,すみよし ひろき,日本維新の会,日本維新の会,（比）近畿,2,2026-05-19
関健一郎,せき けんいちろう,日本維新の会,日本維新の会,（比）東海,2,2026-05-19
関芳弘,せき よしひろ,自由民主党,自由民主党・無所属の会,兵庫3,7,2026-05-19
世古万美子,せこ まみこ,自由民主党,自由民主党・無所属の会,（比）東海,1,2026-05-19
